식당이름,CTGRY_TWO_NM,주소
까몬 광교앨리웨이점,동남아시아음식,경기도 수원시 영통구 광교호수공원로 80
까몬 동탄호수공원점,동남아시아음식,경기도 화성시 동탄순환대로3가길 14-5
까몬 선화점,동남아시아음식,대전광역시 중구 대종로529번길 44
까몬 안동점,동남아시아음식,경상북도 안동시 호수공원2길 12
까몬 호매실점,동남아시아음식,경기도 수원시 권선구 금곡로 225
까미노블랑코,유럽음식,부산광역시 부산진구 동천로95번길 11
까발로비안코,유럽음식,서울특별시 강남구 삼성로104길 9
까브테라스,유럽음식,서울특별시 강남구 강남대로156길 27
까사,유럽음식,경기도 안양시 동안구 평촌대로227번길 26
까사3353,유럽음식,경기도 평택시 대반1길 21-29
까사338,유럽음식,경기도 양주시 삼숭로58번길 57
까사구스토,유럽음식,경기도 화성시 노작로4길 18-9
까사디루카,유럽음식,경기도 평택시 비전9길 2-43
까사디쉐프,유럽음식,서울특별시 종로구 자하문로7길 32
까사레지나,유럽음식,울산광역시 남구 정동로 89
까사마야,남미음식,서울특별시 서초구 신반포로 326-10
까사브라질그릴,남미음식,경기도 평택시 안정로 163
까사올리브,유럽음식,인천광역시 미추홀구 인하로47번길 5
까슐,유럽음식,경기도 광주시 무들로47번길 36
까예데고미스,유럽음식,서울특별시 종로구 자하문로9길 34
까오산,동남아시아음식,경상북도 포항시 남구 효자동길1번길 22
까이식당,동남아시아음식,서울특별시 서대문구 이화여대2가길 24
까이양포차나,동남아시아음식,광주광역시 동구 제봉로110번길 15-1
까펜파스타,유럽음식,서울특별시 양천구 중앙로32길 67
까폼 더현대서울점,동남아시아음식,서울특별시 영등포구 여의대로 108
까폼 본점,동남아시아음식,서울특별시 강남구 선릉로153길 18
까폼 현대백화점 판교점,동남아시아음식,경기도 성남시 분당구 판교역로146번길 20
깎뜨쌀국수,동남아시아음식,서울특별시 강동구 구천면로40길 14
깐깨우,동남아시아음식,충청남도 천안시 서북구 두정상가8길 62
깐쪼네,유럽음식,서울특별시 서대문구 경기대로 23
깔리,인도아시아음식,서울특별시 서초구 방배천로 21
깔리,인도아시아음식,서울특별시 종로구 대학로11길 43
깔모누아,동남아시아음식,서울특별시 마포구 양화로 72
깜뚜누들,동남아시아음식,충청남도 논산시 옥녀봉로 47-1
깜뚜식당,동남아시아음식,부산광역시 북구 의성로115번길 114
깜풍구레스토랑,동남아시아음식,서울특별시 중구 퇴계로20길 25
깟바,동남아시아음식,대구광역시 달서구 서당로9길 15
깡우동,동아시아음식,경기도 수원시 영통구 청명남로28번길 2
껀터베트남쌀국수,동남아시아음식,경기도 화성시 떡전골로 86
껌냐우232,동남아시아음식,서울특별시 종로구 지봉로5길 7
께딸,유럽음식,인천광역시 부평구 부평대로40번길 6
께딸 2호점,유럽음식,인천광역시 중구 우현로35번길 13-1
께벨로,유럽음식,경기도 용인시 처인구 명지로60번길 15-13
꼬니숑,유럽음식,충청남도 천안시 서북구 불당28길 28
꼬닐리오,유럽음식,부산광역시 해운대구 청사포로67번길 20
꼬르동,유럽음식,서울특별시 관악구 관악로14길 89
꼬망또래치킨,동아시아음식,충청남도 당진시 대호만로 2287
꼬모키친,유럽음식,경기도 의왕시 내손로 32
꼬바베트남쌀국수,동남아시아음식,경기도 시흥시 군자천로 335
꼬세레스토랑,유럽음식,서울특별시 강남구 도산대로49길 22
꼬시,동아시아음식,서울특별시 종로구 대학로11길 38-23
꼬시나 에스파냐,지중해음식,서울특별시 서초구 서래로5길 19
꼬치요,동남아시아음식,서울특별시 강서구 곰달래로59길 67
꼴라메르까토,유럽음식,광주광역시 광산구 왕버들로 87
꼼떼 바베큐 둔촌본점,유럽음식,서울특별시 강동구 동남로51길 9
꼼떼 바베큐 마곡점,유럽음식,서울특별시 강서구 마곡중앙로 161-11
꼼떼바베큐 킨텍스점,유럽음식,경기도 고양시 일산동구 연리지로 50
꽁뚜,동아시아음식,대전광역시 대덕구 신탄진로36번길 111
꽁비엣,동남아시아음식,인천광역시 남동구 문화서로4번길 5-15
꽁스타멍,유럽음식,인천광역시 중구 햇내로안길 14-3
꽁시면관 명동본점,동아시아음식,서울특별시 중구 명동2길 45
꽃마름 진주평거점,동아시아음식,경상남도 진주시 남강로309번길 42-21
꽃새우 영번지 역삼점,동아시아음식,서울특별시 강남구 언주로 536
꾸띠 자르당,유럽음식,서울특별시 용산구 보광로 120
꾸아 성수점,동남아시아음식,서울특별시 성동구 서울숲4길 26-24
꾸아송리단길,동남아시아음식,서울특별시 송파구 백제고분로45길 22-1
