이름,주소
대구 동대구역 레지던스R 호텔,대구광역시 동구 동부로26길 61
부산 송도 아바,부산광역시 서구 송도해변로 183
부산 서면 숨,부산 부산진구 서면문화로 29-8
포천 M,경기도 포천시 소흘읍 광릉수목원로 679
부산 구서동 Rosebay Hotel,부산광역시 금정구 금정로237번길 34 (구서동)
포천(송우리) 썸,경기도 포천시 소흘읍 송우로30번길 2-25
대구 죽전 비앤비(B&B),대구광역시 달서구 달구벌대로304길 3
종로 IMT,서울특별시 종로구 수표로18가길 8
울산 영남알프스 G7,울산광역시 울주군 상북면 알프스온천로 223-18
시흥 드라마,경기도 시흥시 평안상가5길 7-7 (정왕동)
인천(도화) 호텔여행,인천광역시 미추홀구 한나루로 588
안산 뉴스타,경기도 안산시 단원구 부부로 64 (원곡동)
광주 하남 발리,광주광역시 광산구 사암로171번길 90-10 (우산동)
인천(구월동) 그랜드,인천광역시 남동구 남동대로765번길 14
대구 경북대 꼬모(como),대구광역시 북구 대학로 140
부산 서면 콤마,부산 부산진구 황령대로7번길 20-3 (범천동)
제천 레인,충청북도 제천시 명륜로12길 8 (중앙로2가)
창원 상남동 뷰티크호텔 궁(宮),경상남도 창원시 성산구 마디미로44번길 7
종로 호텔팝 리즈 프리미어,서울특별시 종로구 수표로22길 16 (낙원동)
울산 일산 아이,울산광역시 동구 해수욕장1길 30
포항 죽도시장 11AVENUE(11에비뉴),경북 포항시 북구 죽도로40번길 11 (죽도동)
동탄 루나,경기 화성시 동탄중심상가1길 31 (반송동)
부산 사상 MU(사상점),부산광역시 사상구 사상로211번길 46
영등포 호텔 홈,서울 영등포구 영중로10길 32-2 (영등포동3가)
광주 상무 S1 무인텔,광주광역시 서구 상무연하로 3
부산 서면 와우,부산 부산진구 중앙대로691번가길 14-3
종로 아비숑,서울 종로구 율곡로6길 19 (운니동)
신촌 모모,서울특별시 서대문구 연세로2길 48
청주 JOY 호텔,충북 청주시 흥덕구 풍년로205번길 49 (가경동)
천안 애플,충청남도 천안시 서북구 양지10길 34 (서광)
안성 모차,경기도 안성시 양성면 어진로 961
동탄 애니콜,경기도 화성시 노작로 149
문경 올레,경상북도 문경시 중앙4길 36 (점촌동)
용산 뉴월드 호텔,서울 용산구 한강대로84길 21-13 (남영동)
안양 펠리스,경기도 안양시 만안구 안양로138번길 41 (안양동)
인천(검단) 데이앤나잇(DAY&NIGHT),인천광역시 서구 완정로117번길 39
논산 딸기,충청남도 논산시 부적면 예학로 253-8
포항 영일대 디자인모텔 A2,경상북도 포항시 북구 해안로 99-1
잠실 쿠키,서울특별시 송파구 올림픽로32길 8 (방이동)
영등포 씨엘(CL),서울특별시 영등포구 영신로32길 8 (영등포동4가)
안성 버킹검,경기도 안성시 삼죽면 삼죽로 16
대전 용전 엑스와이엠,대전광역시 동구 한밭대로1314번길 5 (용전동)
경산 리베라,경상북도 경산시 경산로44길 3-8 (옥산동)
울산 범서읍 VOA,울산 울주군 범서읍 두동로 672
아산 하얏트,충남 아산시 시민로409번길 22-1
천안 KNOX HOTEL,충청남도 천안시 서북구 성정공원6길 61
시흥 궁,경기 시흥시 평안상가1길 27 (정왕동)
포항 대잠동 퐁네프,경상북도 포항시 남구 희망대로659번길 19
인천(작전동) RG,인천광역시 계양구 계양문화로29번길 3
대전 유성 발렌타인,대전광역시 유성구 장대로 20-19
송탄 W호텔,경기도 평택시 지산로12번길 35
예산 A2 호텔 디자이너스,충청남도 예산군 덕산면 온천단지1로 67
화곡 MS,서울특별시 강서구 곰달래로24길 30
산본 짬(ZZAM),경기도 군포시 산본로323번길 10-26
부산 남포동 엘리제,부산광역시 중구 대청로126번길 22
목포 하당 무인호텔,전라남도 목포시 원형로 26
광주 상무 숲,광주광역시 서구 상무중앙로28번길 22
대전 유성 렉시,대전광역시 유성구 온천로107번길 37
안동 초콜릿,경상북도 안동시 강남1길 145-15 (정하동)
대전 대흥 로지 호텔,대전광역시 중구 대종로452번길 48 (대흥동)
대전 용문 호텔 SM,대전광역시 서구 계룡로 636번길 14-13
제주 한림 이쁜새이쁘게노래하고,제주특별자치도 제주시 한림읍 협재로 68-5
광주 첨단 아바타호텔,광주광역시 광산구 첨단중앙로152번길 6-25 (쌍암동)
춘천 N,강원 춘천시 구마니길 26 (삼천동)
충주 더 이너스호텔,충청북도 충주시 성서2길 19
부산 광안리 문 베이 호텔,부산광역시 수영구 남천바다로33번길 51
동탄 코지,경기도 화성시 동탄중심상가1길 27
월계(석계역) 갤러리호텔,서울특별시 노원구 화랑로 343
대전 중리 페이지호텔,대전광역시 대덕구 중리로7번길 14-5 (중리동)
종로 POP3,서울특별시 종로구 수표로22길 10
경주 티포인트 무인텔,경상북도 경주시 동방원길 5
종로(대학로) 장미여관,서울특별시 종로구 대명1길 18
종로 HOTEL STAR,서울특별시 종로구 돈화문로9길 29
계룡 호텔 비너스,충청남도 계룡시 엄사면 번영1길 6-19
종로 POP2,서울특별시 종로구 수표로22길 14
의정부 씨-라인(C-LINE),경기 의정부시 신흥로232번길 5-24 (의정부동)
강릉 BR,강원도 강릉시 중앙시장3길 15-4 (성남동)
전주 우아동 호텔 젠,전라북도 전주시 덕진구 아중4길 14-4
대전 월평 컨티뉴 대전점,대전 서구 월평로 53-9
서초 유원호텔 남부터미널,서울특별시 서초구 반포대로12길 29 (서초동)
홍성 조이 모텔,충청남도 홍성군 홍성읍 홍덕서로 203-11
여수 신생,전라남도 여수시 충무2길 8
부산 초읍 루,부산광역시 부산진구 성지로153번길 9
음성 아리아 Drive-in,충청북도 음성군 금왕읍 대금로 1089-35
인천(부평) 베가,인천광역시 부평구 경원대로1431번길 37
포항 죽도시장 바나나 비즈텔,경상북도 포항시 북구 중앙상가7길 2
광양 S,전남 광양시 광장로 148-4
음성 숲속의 일곱난장이 무인텔,충청북도 음성군 원남면 충청대로 865
한성대입구(혜화) 메이,서울특별시 성북구 동소문로8길 23
경산 호텔 하바나,경상북도 경산시 경산로44길 3-3
신림 K2,서울특별시 관악구 신림로64길 29 (신림동)
청주 Xi-an(시안호텔),충청북도 청주시 흥덕구 경산로5번길 11
담양 갤러리 무인텔,전라남도 담양군 담양읍 외다길 8
동탄 시크릿,경기도 화성시 동탄중심상가2길 11 (삼성파크뷰)
신림 뉴스타,서울특별시 관악구 신림로 353-7
인천(송도) me2,인천광역시 연수구 능허대로191번길 12
부산 송정 애플,부산광역시 해운대구 송정중앙로15번길 21 (송정동)
인천(소래포구) 카카오,인천광역시 남동구 소래역로30번길 22 (논현동)
대전 유성 피카소,대전광역시 유성구 장대로 16-20 (봉명동)
수원(인계동) Boutique 엘가,경기도 수원시 팔달구 권광로175번길 28
광주 광천동 H 무인텔,광주광역시 서구 죽봉대로 102번길 10
서울대입구 담,서울 관악구 남부순환로226길 24 (봉천동)
계룡 오페라,충청남도 계룡시 금암로 130-17
신림 루쏘,서울 관악구 신림로64길 38
동탄 투헤븐,경기도 화성시 동탄중심상가2길 29 (반송동)
광주 신안동 이끌림호텔 아드리아점,광주광역시 북구 중흥로83번길 8-8 (신안동)
부산 송정 V,부산광역시 해운대구 송정중앙로39번길 2-9 (송정동)
목포 T 무인텔,전라남도 목포시 번화로 82
청주 12번길 (구 넘버25 청주터미널점),충청북도 청주시 흥덕구 비하로12번길 39 (넘버25호텔 청주터미널점)
김해 어방동 7,경상남도 김해시 인제로65번길 12 (어방동)
안산 Design Hotel XYM,경기 안산시 단원구 고잔1길 63 (고잔동)
대전 대사 호텔 버스,대전 중구 계룡로921번길 16
경주 드림힐,경상북도 경주시 태종로791번길 22-2
울산 일산 브이,울산 동구 해수욕장10길 112 (일산동)
경주 TOP(탑),경상북도 경주시 동방원길 8
김해 어방동 아모르호텔,경상남도 김해시 분성로529번길 3
담양 해피타임 드라이브인,전라남도 담양군 담양읍 추성로 1173-15
의정부 잉카,경기 의정부시 시민로122번길 60 (의정부동)
수원(인계동) 헬리아,경기도 수원시 팔달구 효원로249번길 46-5
잠실 머니,서울 송파구 올림픽로34길 9 (방이동)
대구 평리동 F2,대구광역시 서구 국채보상로46길 43-6
수원역 Boutique Hotel XYM,경기도 수원시 팔달구 갓매산로56번길 8
포항 상도동 XYM1,경상북도 포항시 남구 중흥로70번길 7-5
광주 신안동 스카이,광주광역시 북구 경양로119번길 33 (신안동)
청주 오창 샤르망,충청북도 청주시 청원구 오창읍 중심상업2로 47-30
수원시청역 써니플러스,경기도 수원시 권선구 권선로683번길 24-22
인천(주안) Luxury짝,인천광역시 미추홀구 경원대로851번길 56
김해 장유 G&G,경상남도 김해시 장유로 337 (신문동)
진주 mt,경상남도 진주시 남강로1081번길 14 (상평동)
고양(화정) 빅토리아,경기도 고양시 덕양구 화신로260번길 36 (화정동)
문경 더 브릿지,경상북도 문경시 남부3길 10 (모전동)
대전 유성 헤라,대전광역시 유성구 온천로107번길 23
수원 더휴식 아늑호텔 인계점,경기도 수원시 팔달구 인계로94번길 29
서초 H호텔,서울 서초구 효령로55길 51 (서초동)
천안 A,충청남도 천안시 동남구 신부12길 10 (신부동)
김제 위즈 드라이브인,전라북도 김제시 동서1길 14
안동 갤럭시,경상북도 안동시 강남14길 28
구리 렉시,경기도 구리시 안골로 87-1
김해 어방동 9to9,경남 김해시 김해대로2529번길 72-16
보령(대천) 리버사이드 호텔,충청남도 보령시 천변북길 87 (동대동)
대구 성서 터치(Touch),대구 달서구 달서대로95길 23 (호산동)
성북 W 미니호텔,서울특별시 성북구 정릉로38나길 31
포항 대잠동 야호,경상북도 포항시 남구 새천년대로450번길 10-1
보령(대천) 노바,충청남도 보령시 머드로 186-6 (신흑동)
은평 Opposite Standard (오포짓 스탠다드),서울특별시 은평구 서오릉로 17
아산 샵,충청남도 아산시 신창면 서부남로 835-27
역삼 MUL,서울특별시 강남구 논현로 548 (역삼동)
인천(송도) HOTEL 2030,인천광역시 연수구 능허대로191번길 14 (옥련동)
제천 밀라노,충청북도 제천시 의림대로15길 16
군산 지중해 무인텔,전라북도 군산시 경포천서길 25 (경암동)
창원 마산 에코,경상남도 창원시 마산합포구 어시장9길 103(남성동)
창원 마산 창동 V1,경상남도 창원시 마산합포구 남성로 126
창원 상남동 토토스,경상남도 창원시 성산구 단정로 9 (상남동)
신촌 가을,서울특별시 서대문구 연세로2나길 13 (창천동)
답십리 갤러리호텔 칸 (신답역점),서울특별시 동대문구 사가정로 7
대구 성서 까르디움,대구광역시 달서구 성서공단로15길 57
안동 쇼,경상북도 안동시 옥동3길 41-6
광양 리츠 호텔,전라남도 광양시 오류6길 20
천안 윈저,충청남도 천안시 서북구 검은들3길 9 (불당동)
태안(신진도) 제이드 리조텔,충청남도 태안군 근흥면 신진도길 69
잠실 루이체,서울 송파구 오금로11길 21-6 (방이동)
용인 양지 샹그리아,경기 용인시 처인구 양지면 양지로148번길 11
부산 해운대 V,부산광역시 해운대구 구남로18번길 46 (우동)
불광 라비다 호텔,서울특별시 은평구 통일로65길 10-4
천안 렉스 호텔,충청남도 천안시 서북구 양지8길 10-4 (성정동)
인천(구월동) 호텔 더 디자이너스,인천광역시 남동구 남동대로765번길 8 (구월동)
목동 잠(ZAM),서울특별시 양천구 신목로 119 (목동)
영등포 YAJA 영등포점,서울특별시 영등포구 영중로10길 43
남원 람세스,전라북도 남원시 충정로 233 (도통동)
창원 상남동 락,경상남도 창원시 성산구 마디미로31번길 8
인천(경인교대) 짝,인천 계양구 계산로111번길 4 (계산동)
단양 궁전,충청북도 단양군 단양읍 수변로 73
대전 유성 메이호텔,대전 유성구 계룡로105번길 25
경주 J 부티크 호텔,경상북도 경주시 태종로 685번길 42
청주 페이지,충북 청주시 흥덕구 경산로9번길 10
천안 엠파이어,충청남도 천안시 동남구 각원사길 187-14 (엠파이어여관)
화곡 아브르,서울특별시 강서구 까치산로 83 (화곡동)
부천 씨앤,경기도 부천시 원미로17번길 21 (심곡동)
경주 호텔 브라운,경상북도 경주시 양남면 양남로 277
수원역 명작호텔,경기 수원시 팔달구 매산로 57 (매산로2가)
월곶 Design Hotel XYM,경기 시흥시 월곶중앙로58번길 26 (월곶동)
부산 양정 호텔 369,부산광역시 부산진구 양지로8번길 20 (양정동)
군산 엘도라도,전라북도 군산시 임피면 동군산로 681
광주 하남 호텔 더메종,광주광역시 광산구  무진대로212번길 13-8
익산 쇼팰리스 드라이브인 무인텔,전라북도 익산시 인북로1길 2
구미 인동 호텔 LEE,경상북도 구미시 인동32길 13-10
목포 HOTEL MU(호텔 엠유),전라남도 목포시 옥암로54번길 41
충주 로즈힐,충청북도 충주시 애향로 66-1 (봉방동)
속초 피카소,강원도 속초시 영금정로 32 (동명동)
대전 대흥 스테이오늘,대전광역시 중구 대흥로158번길 13
대전 유성 맨하탄,대전광역시 유성구 온천북로33번길 7-14 (봉명동)
인천(주안) 칼튼,인천광역시 미추홀구 주안서로 46
진주 EM,경상남도 진주시 남강로1081번길 9
안산 호텔 月,경기도 안산시 단원구 선부광장로 85 (선부동)
부산 서면 테마,부산 부산진구 가야대로755번길 13 (부전동)
파주 화수목,경기도 파주시 탄현면 엘씨디로241번길 39-46
